"","Q2_abbrev","author","article","third","some","none"
"1","EM&S",0.19047619047619,0.0952380952380952,0.0317460317460317,0.666666666666667,0.142857142857143
"2","HESS",0.392156862745098,0.0980392156862745,0.117647058823529,0.470588235294118,0.0784313725490196
"3","JoH",0.0194174757281553,0.330097087378641,0.029126213592233,0.339805825242718,0.398058252427184
"4","JAWRA",0,0.166666666666667,0.0333333333333333,0.3,0.533333333333333
"5","JWRP&M",0.0333333333333333,0.233333333333333,0,0.266666666666667,0.533333333333333
"6","WRR",0.397590361445783,0.204819277108434,0.0120481927710843,0.325301204819277,0.253012048192771
"7","Total",0.188888888888889,0.205555555555556,0.0361111111111111,0.402777777777778,0.297222222222222
