"","Q2_abbrev","author","article","third","some","none","n"
"1","EM&S",12,6,2,42,9,63
"2","HESS",20,5,6,24,4,51
"3","JoH",2,34,3,35,41,103
"4","JAWRA",0,5,1,9,16,30
"5","JWRP&M",1,7,0,8,16,30
"6","WRR",33,17,1,27,21,83
"7","Total",68,74,13,145,107,360
